TestHeaderID,Operation Name,StepID,Parameter Name,Value,Units,Min Limit,Max Limit
37331425,Glue Optic L542,None,START TIME,2023-06-29 07:29:06,,,
37331425,Glue Optic L542,None,END TIME,2023-06-29 09:24:38,,,
37331425,Glue Optic L542,None,OPERATOR,67085,,,
37331425,Glue Optic L542,None,STATION,350R6Z2,,,
37331425,Glue Optic L542,44384035,ReportText,(If),None,None,None
38302081,Glue Optic 271,None,START TIME,2023-07-23 04:02:48,,,
38302081,Glue Optic 271,None,END TIME,2023-07-23 04:11:37,,,
38302081,Glue Optic 271,None,OPERATOR,68929,,,
38302081,Glue Optic 271,None,STATION,689R5Z2,,,
38302081,Glue Optic 271,46055467,Jig,N,None,None,None
38302081,Glue Optic 271,46055467,Pick_up_Height_Offset,0,None,None,None
38302081,Glue Optic 271,46055467,Distance_to_Sensor,100,None,None,None
38302081,Glue Optic 271,46055467,Amp3_D1__A_,0,None,None,None
38302081,Glue Optic 271,46055467,Y,230,None,None,None
38302081,Glue Optic 271,46055467,Gain_Code,0,None,None,None
38302081,Glue Optic 271,46055467,Amp4_D3__A_,0,None,None,None
38302081,Glue Optic 271,46055467,RX,0,None,None,None
38302081,Glue Optic 271,46055467,RY,0,None,None,None
38302081,Glue Optic 271,46055467,RZ,0,None,None,None
38302081,Glue Optic 271,46055467,PoD_Div_,0,None,None,None
38302081,Glue Optic 271,46055467,Optic Name,271,None,None,None
38302081,Glue Optic 271,46055467,Amp4_D2__A_,0,None,None,None
38302081,Glue Optic 271,46055467,Mount_Type,sidemount,None,None,None
38302081,Glue Optic 271,46055467,Optic_Type,lens,None,None,None
38302081,Glue Optic 271,46055467,Seeder_D__A_,0,None,None,None
38302081,Glue Optic 271,46055467,Amp3_D2__A_,0,None,None,None
38302081,Glue Optic 271,46055467,Amp2_D__A_,1,None,None,None
38302081,Glue Optic 271,46055467,Pick_up_Orentation,F,None,None,None
38302081,Glue Optic 271,46055467,Carrier_Index,-1,None,None,None
38302081,Glue Optic 271,46055467,X,85,None,None,None
38302081,Glue Optic 271,46055467,Z,-12.7,None,None,None
38302081,Glue Optic 271,46055467,Sidemount_Side,L,None,None,None
38302081,Glue Optic 271,46055467,Amp1_D__A_,0,None,None,None
38302081,Glue Optic 271,46055467,Optimization_Type,joystick,None,None,None
38302081,Glue Optic 271,46055467,Glue_Gap__mm_,0,None,None,None
38302081,Glue Optic 271,46055467,Amp3_D3__A_,0,None,None,None
38302081,Glue Optic 271,46055467,PoD_Rel_P____,0,None,None,None
38302081,Glue Optic 271,46055467,Rigol__A_,0,None,None,None
38302081,Glue Optic 271,46055467,Amp4_D1__A_,0,None,None,None
38302081,Glue Optic 271,46055477,RX,0,deg,None,None
38302081,Glue Optic 271,46055477,RY,0,deg,None,None
38302081,Glue Optic 271,46055477,RZ,0,deg,None,None
38302081,Glue Optic 271,46055477,Y,230,mm,None,None
38302081,Glue Optic 271,46055477,X,85,mm,None,None
38302081,Glue Optic 271,46055477,Z,-12.7,mm,-15.7,-9.7
38302081,Glue Optic 271,46055485,RX,0,deg,None,None
38302081,Glue Optic 271,46055485,RY,0,deg,None,None
38302081,Glue Optic 271,46055485,RZ,0,deg,None,None
38302081,Glue Optic 271,46055485,Y,230,mm,None,None
38302081,Glue Optic 271,46055485,X,85,mm,None,None
38302081,Glue Optic 271,46055485,Z,-12.7,mm,-15.7,-9.7
38308705,Glue Optic 203,None,START TIME,2023-07-23 18:39:01,,,
38308705,Glue Optic 203,None,END TIME,2023-07-23 18:48:53,,,
38308705,Glue Optic 203,None,OPERATOR,85132,,,
38308705,Glue Optic 203,None,STATION,359J6Z2,,,
38308705,Glue Optic 203,46084222,Jig,N,None,None,None
38308705,Glue Optic 203,46084222,Pick_up_Height_Offset,0,None,None,None
38308705,Glue Optic 203,46084222,Distance_to_Sensor,100,None,None,None
