combined_hours,Date,Time,LD1_Warning,LD1_Fault,LD2_Warning,LD2_Fault,LD3_Warning,LD3_Fault,Filename
250.439594611,11/13/2020,2:53:10 AM,Warnings=None. , Faults=,,,,,N3ES2011LFE01
530.548904166,12/16/2020,2:56:25 PM,Warnings=, Faults=None.,,,,,N3ES2011LFE01
1719.22704412,2/15/2021,10:18:50 PM,Warnings=, Faults=None.,,,,,N3ES2011LFE01
1719.22983105,2/15/2021,10:19:00 PM,Warnings=, Faults=None.,,,,,N3ES2011LFE01
1766.00575587,2/18/2021,1:42:36 AM,Warnings=None. , Faults=,,,,,N3ES2011LFE01
1958.84218138,3/2/2021,12:09:12 PM,Warnings=, Faults=None.,,,,,N3ES2011LFE01
2663.86718026,04/01/2021,02:31:11 AM,Warnings=None. , Faults=,,,,,N3ES2011LFE01
3195.51413702,04/23/2021,02:38:39 PM,Warnings=, Faults=None.,,,,,N3ES2011LFE01
3762.41304046,05/27/2021,02:26:04 AM,Warnings=None. , Faults=,,,,,N3ES2011LFE01
3930.33426294,06/03/2021,02:22:40 AM,Warnings=, Faults=None.,,,,,N3ES2011LFE01
4058.43575153,06/09/2021,01:04:48 AM,Warnings=None. , Faults=,,,,,N3ES2011LFE01
4197.71006438,06/14/2021,08:26:16 PM,Warnings=None. , Faults=,,,,,N3ES2011LFE01
4345.85519281,06/21/2021,12:44:56 AM,Warnings=None. , Faults=,,,,,N3ES2011LFE01
4419.74242582,06/24/2021,02:50:37 AM,Warnings=, Faults=None.,,,,,N3ES2011LFE01
4642.09528484,07/03/2021,09:10:46 AM,Warnings=, Faults=None.,,,,,N3ES2011LFE01
4728.24224696,07/06/2021,11:04:22 PM,Warnings=, Faults=None.,,,,,N3ES2011LFE01
4755.45109789,07/08/2021,02:11:35 AM,Warnings=None. , Faults=,,,,,N3ES2011LFE01
4862.37187694,07/12/2021,12:46:20 PM,Warnings=None. , Faults=,,,,,N3ES2011LFE01
5268.28624027,07/29/2021,10:50:40 AM,Warnings=, Faults=None.,,,,,N3ES2011LFE01
5268.35312672,07/29/2021,10:54:52 AM,Warnings=None. , Faults=,,,,,N3ES2011LFE01
5343.34398617,08/01/2021,02:07:58 PM,Warnings=None. , Faults=,,,,,N3ES2011LFE01
