combined_hours,Date,Time,LD1_Warning,LD1_Fault,LD2_Warning,LD2_Fault,LD3_Warning,LD3_Fault,Filename
82.4517281182,11/8/2020,4:48:29 PM,Warnings=, Faults=None.,,,,,N3ES2011LFE02
82.4545165699,11/8/2020,4:48:39 PM,Warnings=, Faults=None.,,,,,N3ES2011LFE02
82.4600934733,11/8/2020,4:48:59 PM,Warnings=, Faults=None.,,,,,N3ES2011LFE02
82.4963433453,11/8/2020,4:51:20 PM,Warnings=, Faults=None.,,,,,N3ES2011LFE02
156.783484906,11/11/2020,6:51:34 PM,Warnings=, Faults=None.,,,,,N3ES2011LFE02
156.786273357,11/11/2020,6:51:44 PM,Warnings=, Faults=None.,,,,,N3ES2011LFE02
156.789061809,11/11/2020,6:51:54 PM,Warnings=, Faults=None.,,,,,N3ES2011LFE02
156.791850261,11/11/2020,6:52:04 PM,Warnings=, Faults=None.,,,,,N3ES2011LFE02
156.794638712,11/11/2020,6:52:14 PM,Warnings=, Faults=None.,,,,,N3ES2011LFE02
156.797427164,11/11/2020,6:52:24 PM,Warnings=, Faults=None.,,,,,N3ES2011LFE02
156.833677036,11/11/2020,6:54:57 PM,Warnings=, Faults=None.,,,,,N3ES2011LFE02
163.952594209,11/12/2020,2:00:35 AM,Warnings=, Faults=None.,,,,,N3ES2011LFE02
331.775559369,11/19/2020,1:11:39 AM,Warnings=None. , Faults=,,,,,N3ES2011LFE02
601.968163092,12/22/2020,1:56:00 AM,Warnings=None. , Faults=,,,,,N3ES2011LFE02
902.881139121,01/14/2021,2:29:14 AM,Warnings=None. , Faults=,,,,,N3ES2011LFE02
1243.3957061,01/28/2021,5:45:58 AM,Warnings=None. , Faults=,,,,,N3ES2011LFE02
1243.39849455,01/28/2021,5:46:10 AM,Warnings=None. , Faults=,,,,,N3ES2011LFE02
1318.26842251,01/31/2021,8:21:37 AM,Warnings=None. , Faults=,,,,,N3ES2011LFE02
1392.14845013,2/3/2021,9:57:38 AM,Warnings=None. , Faults=,,,,,N3ES2011LFE02
1467.42549204,02/06/2021,12:58:18 PM,Warnings=None. , Faults=,,,,,N3ES2011LFE02
1576.23645401,02/11/2021,01:22:42 AM,Warnings=None. , Faults=,,,,,N3ES2011LFE02
1691.46364333,02/15/2021,08:11:20 PM,Warnings=None. , Faults=,,,,,N3ES2011LFE02
1909.30027807,02/25/2021,02:47:23 AM,Warnings=None. , Faults=,,,,,N3ES2011LFE02
2406.93015567,03/24/2021,02:54:41 AM,Warnings=, Faults=None.,,,,,N3ES2011LFE02
2406.93573257,03/24/2021,02:55:11 AM,Warnings=, Faults=None.,,,,,N3ES2011LFE02
2430.96660926,03/25/2021,02:52:39 AM,Warnings=, Faults=None.,,,,,N3ES2011LFE02
2503.06481624,03/28/2021,02:43:14 AM,Warnings=, Faults=None.,,,,,N3ES2011LFE02
2503.0787585,03/28/2021,02:44:04 AM,Warnings=, Faults=None.,,,,,N3ES2011LFE02
2503.08154695,03/28/2021,02:44:16 AM,Warnings=, Faults=None.,,,,,N3ES2011LFE02
2503.12895063,03/28/2021,02:47:03 AM,Warnings=, Faults=None.,,,,,N3ES2011LFE02
2598.01717329,04/01/2021,01:18:51 AM,Warnings=None. , Faults=,,,,,N3ES2011LFE02
2598.01996174,04/01/2021,01:19:05 AM,Warnings=, Faults=None.,,,,,N3ES2011LFE02
2650.84439062,04/03/2021,05:56:28 AM,Warnings=, Faults=None.,,,,,N3ES2011LFE02
2650.91131346,04/03/2021,06:00:29 AM,Warnings=, Faults=None.,,,,,N3ES2011LFE02
2724.84153319,04/06/2021,07:39:31 AM,Warnings=, Faults=None.,,,,,N3ES2011LFE02
2724.8582639,04/06/2021,07:40:31 AM,Warnings=None. , Faults=,,,,,N3ES2011LFE02
2724.86662926,04/06/2021,07:41:01 AM,Warnings=, Faults=None.,,,,,N3ES2011LFE02
2724.88614842,04/06/2021,07:42:11 AM,Warnings=, Faults=None.,,,,,N3ES2011LFE02
2724.90566758,04/06/2021,07:43:31 AM,Warnings=, Faults=None.,,,,,N3ES2011LFE02
2775.42125845,04/12/2021,10:42:00 AM,Warnings=, Faults=None.,,,,,N3ES2011LFE02
2775.42404691,04/12/2021,10:42:09 AM,Warnings=, Faults=None.,,,,,N3ES2011LFE02
2848.85513379,04/15/2021,11:52:13 AM,Warnings=, Faults=None.,,,,,N3ES2011LFE02
2848.85792224,04/15/2021,11:52:23 AM,Warnings=, Faults=None.,,,,,N3ES2011LFE02
2922.71843069,04/18/2021,01:28:05 PM,Warnings=, Faults=None.,,,,,N3ES2011LFE02
2922.75746901,04/18/2021,01:30:23 PM,Warnings=, Faults=None.,,,,,N3ES2011LFE02
2976.6777594,04/20/2021,07:13:23 PM,Warnings=, Faults=None.,,,,,N3ES2011LFE02
2996.99441844,04/21/2021,03:29:16 PM,Warnings=None. , Faults=,,,,,N3ES2011LFE02
2997.05855283,04/21/2021,03:33:07 PM,Warnings=, Faults=None.,,,,,N3ES2011LFE02
3007.01332537,04/22/2021,01:29:19 AM,Warnings=, Faults=None.,,,,,N3ES2011LFE02
3071.20348334,04/24/2021,05:27:00 PM,Warnings=, Faults=None.,,,,,N3ES2011LFE02
3071.20906025,04/24/2021,05:27:21 PM,Warnings=, Faults=None.,,,,,N3ES2011LFE02
3071.22857941,04/24/2021,05:28:28 PM,Warnings=, Faults=None.,,,,,N3ES2011LFE02
3144.88274243,04/27/2021,06:51:51 PM,Warnings=None. , Faults=,,,,,N3ES2011LFE02
3144.90226159,04/27/2021,06:53:01 PM,Warnings=, Faults=None.,,,,,N3ES2011LFE02
3144.96639598,04/27/2021,06:56:51 PM,Warnings=None. , Faults=,,,,,N3ES2011LFE02
3144.97754979,04/27/2021,06:57:33 PM,Warnings=, Faults=None.,,,,,N3ES2011LFE02
3175.25176982,04/29/2021,01:08:03 AM,Warnings=, Faults=None.,,,,,N3ES2011LFE02
3175.26571208,04/29/2021,01:08:53 AM,Warnings=, Faults=None.,,,,,N3ES2011LFE02
3218.76834694,04/30/2021,08:29:44 PM,Warnings=, Faults=None.,,,,,N3ES2011LFE02
3291.23741799,05/03/2021,10:38:12 PM,Warnings=, Faults=None.,,,,,N3ES2011LFE02
3291.26530251,05/03/2021,10:39:51 PM,Warnings=, Faults=None.,,,,,N3ES2011LFE02
3343.73002111,05/06/2021,02:58:15 AM,Warnings=, Faults=None.,,,,,N3ES2011LFE02
3343.78300169,05/06/2021,03:01:23 AM,Warnings=, Faults=None.,,,,,N3ES2011LFE02
3364.69360094,05/12/2021,12:36:09 PM,Warnings=, Faults=None.,,,,,N3ES2011LFE02
3377.66826667,05/13/2021,01:33:21 AM,Warnings=None. , Faults=,,,,,N3ES2011LFE02
3649.95499759,05/24/2021,09:55:56 AM,Warnings=None. , Faults=,,,,,N3ES2011LFE02
3819.82468628,05/31/2021,11:58:04 AM,Warnings=None. , Faults=,,,,,N3ES2011LFE02
4552.03863945,07/01/2021,03:58:05 AM,Warnings=None. , Faults=,,,,,N3ES2011LFE02
4690.71949596,07/07/2021,03:34:44 AM,Warnings=, Faults=None.,,,,,N3ES2011LFE02
4690.7975726,07/07/2021,03:39:36 AM,Warnings=, Faults=None.,,,,,N3ES2011LFE02
4837.72666921,07/13/2021,09:03:24 AM,Warnings=None. , Faults=,,,,,N3ES2011LFE02
4911.71823489,07/16/2021,10:46:15 AM,Warnings=None. , Faults=,,,,,N3ES2011LFE02
5977.87716282,08/30/2021,12:29:07 AM,Warnings=None. , Faults=,,,,,N3ES2011LFE02
