2020-06-22
14:28:50
ANALYZED_IMAGE_FILE_5KHZ,\\PATFS03\ITRAVELER\MUIR\ITRAVELER_MUIR\DATA\F3ES2006LF001\F3ES2006LF001_FINAL_TEST_6_BPP_ENGINE_5KHZ_20200622_142542_processed.png,51009
CWL_10KHZ,1079.62,50966
SPECTRUM_WIDTH_3dB_10KHZ,2.29,50970
SPECTRUM_WIDTH_10dB_10KHZ,6.44,50974
SPECTRUM_WIDTH_20dB_10KHZ,12.71,50978
PUMP_10KHZ,0.01,50982
SRS_10KHZ,0.07,50986
SIGNAL_AMP_10KHZ,-33.51,50990
SIGNAL_SRS_10KHZ,37.29,50994
GAUSS_FIT_CWL_10KHZ,1079.66,50998
ANALYZER_VER_10KHZ,v0.2,51002
ANALYZED_RESULTS_FILE_10KHZ,\\PATFS03\ITRAVELER\MUIR\ITRAVELER_MUIR\DATA\F3ES2006LF001\F3ES2006LF001_FINAL_TEST_6_BPP_ENGINE_10KHZ_20200622_142719_results.csv,51006
ANALYZED_IMAGE_FILE_10KHZ,\\PATFS03\ITRAVELER\MUIR\ITRAVELER_MUIR\DATA\F3ES2006LF001\F3ES2006LF001_FINAL_TEST_6_BPP_ENGINE_10KHZ_20200622_142719_processed.png,51010
FAILURE_CODE,-,50385
COMMENT,-,50387
RESULT,PASS,50386
DATE_TIME_END,06/22/2020 02:28 PM,50389
RECIPE,SPECTRUM_MEASUREMENT%4KW_MODULE%V0.5,50391
OPERATOR,20947,50390
