combined_hours,Date,Time,LD1_Warning,LD1_Fault,LD2_Warning,LD2_Fault,LD3_Warning,LD3_Fault,Filename
35.5096618357,02/16/2018,07:10:42 PM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
36.1405518881,02/16/2018,07:49:02 PM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
36.1496952222,02/16/2018,07:49:32 PM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
36.6099097048,02/16/2018,08:18:40 PM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
36.9786908465,02/16/2018,08:41:30 PM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
38.1368464982,02/16/2018,09:52:32 PM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
38.4964843058,02/16/2018,10:14:40 PM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
38.7768798847,02/16/2018,10:32:22 PM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
38.904886562,02/16/2018,10:39:22 PM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
39.1487088044,02/16/2018,10:55:22 PM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
39.6668310696,02/16/2018,11:26:12 PM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
40.1575233326,02/16/2018,11:57:02 PM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
40.992614513,02/17/2018,12:49:00 AM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
41.1389078585,02/17/2018,12:57:00 AM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
41.9069479222,02/17/2018,01:45:12 AM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
42.1355312745,02/17/2018,01:58:50 AM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
42.4067835192,02/17/2018,02:15:02 AM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
43.0315780155,02/17/2018,02:54:22 AM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
45.4332271037,02/17/2018,05:21:13 AM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
45.4515137719,02/17/2018,05:22:13 AM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
46.2957482864,02/17/2018,06:14:11 AM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
46.5883349774,02/17/2018,06:31:23 AM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
47.9811695374,02/17/2018,07:57:13 AM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
48.5785340314,02/17/2018,08:33:31 AM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
48.9015985027,02/27/2018,06:47:27 PM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
49.0814174065,02/27/2018,06:58:27 PM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
49.626969674,02/27/2018,07:31:47 PM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
49.6696385664,02/27/2018,07:34:07 PM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
49.7397374611,02/27/2018,07:37:57 PM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
50.1450919392,02/27/2018,08:03:37 PM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
50.1633786074,02/27/2018,08:04:37 PM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
50.9618964514,02/27/2018,08:52:59 PM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
51.3062953689,02/27/2018,09:14:07 PM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
51.7543187394,02/27/2018,09:40:57 PM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
51.9554720894,02/27/2018,09:53:07 PM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
52.2389154463,02/27/2018,10:10:59 PM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
52.504072135,02/27/2018,10:26:37 PM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
52.5833143638,02/27/2018,10:32:07 PM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
52.6229354782,02/27/2018,10:34:19 PM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
52.7570377115,02/27/2018,10:42:47 PM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
52.9185699471,02/27/2018,10:52:47 PM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
53.0922932949,02/27/2018,11:03:27 PM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
53.3391633154,02/27/2018,11:18:07 PM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
53.4123099881,02/27/2018,11:22:07 PM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
53.503743329,02/27/2018,11:28:19 PM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
53.59517667,02/27/2018,11:33:17 PM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
53.698801123,02/27/2018,11:40:07 PM,Warnings=None. , Faults=,,,,,F3E21802109_MODULATION
